"train/global_step","glad-glitter-9 - train/ppl","glad-glitter-9 - train/ppl__MIN","glad-glitter-9 - train/ppl__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ppl","sleek-moon-7 - train/ppl__MIN","sleek-moon-7 - train/ppl__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ppl","magic-universe-6 - train/ppl__MIN","magic-universe-6 - train/ppl__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ppl","visionary-oath-5 - train/ppl__MIN","visionary-oath-5 - train/ppl__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"190","","","","","","","","","","","","","26.563101378174213","26.563101378174213","26.563101378174213","40","40","40","27.4144605899204","27.4144605899204","27.4144605899204","40","40","40"
"200","","","","","","","","","","","","","25.89201134267927","25.89201134267927","25.89201134267927","42","42","42","26.078267246642625","26.078267246642625","26.078267246642625","42","42","42"
"210","","","","","","","","","","","","","25.281959925466243","25.281959925466243","25.281959925466243","44","44","44","26.712719742109098","26.712719742109098","26.712719742109098","44","44","44"
"220","","","","","","","","","","","","","24.399911516519033","24.399911516519033","24.399911516519033","46","46","46","24.022340716694455","24.022340716694455","24.022340716694455","46","46","46"
"230","","","","","","","","","","","","","22.86658829779341","22.86658829779341","22.86658829779341","48","48","48","28.757640930210837","28.757640930210837","28.757640930210837","48","48","48"
"240","","","","","","","","","","","","","26.618779791390704","26.618779791390704","26.618779791390704","50","50","50","28.779051697219543","28.779051697219543","28.779051697219543","50","50","50"
"250","","","","","","","","","","","","","26.14066643636454","26.14066643636454","26.14066643636454","52","52","52","26.178067746773067","26.178067746773067","26.178067746773067","52","52","52"
"260","","","","","","","","","","","","","25.824865692926465","25.824865692926465","25.824865692926465","54","54","54","","","","","",""
"270","","","","","","","","","","","","","27.86799200509918","27.86799200509918","27.86799200509918","56","56","56","","","","","",""
"280","","","","","","","","","","","","","26.570428561306898","26.570428561306898","26.570428561306898","58","58","58","","","","","",""
"290","","","","","","","","","","","","","25.228779387673228","25.228779387673228","25.228779387673228","60","60","60","","","","","",""
"300","","","","","","","","","","","","","26.372960153593844","26.372960153593844","26.372960153593844","62","62","62","","","","","",""
"310","","","","","","","","","","","","","24.98623423772624","24.98623423772624","24.98623423772624","64","64","64","","","","","",""
"320","","","","","","","","","","","","","25.533998374558603","25.533998374558603","25.533998374558603","66","66","66","","","","","",""
"330","","","","","","","","","","","","","27.224839983919445","27.224839983919445","27.224839983919445","68","68","68","","","","","",""
"340","","","","","","","","","","","","","26.30500877834071","26.30500877834071","26.30500877834071","70","70","70","","","","","",""
"350","","","","","","","","","","","","","25.019349502879578","25.019349502879578","25.019349502879578","72","72","72","","","","","",""
"360","","","","","","","","","","","","","24.182667049452856","24.182667049452856","24.182667049452856","74","74","74","","","","","",""
"370","","","","","","","","","","","","","27.223884539076984","27.223884539076984","27.223884539076984","76","76","76","","","","","",""
"380","","","","","","","","","","","","","24.863779206944063","24.863779206944063","24.863779206944063","78","78","78","","","","","",""
"390","","","","","","","","","","","","","25.36006415100753","25.36006415100753","25.36006415100753","80","80","80","","","","","",""
"400","","","","","","","","","","","","","24.605662718971843","24.605662718971843","24.605662718971843","82","82","82","","","","","",""
"410","","","","","","","","","","","","","26.139848755577372","26.139848755577372","26.139848755577372","84","84","84","","","","","",""
"420","","","","","","","","","","","","","25.295976981062353","25.295976981062353","25.295976981062353","86","86","86","","","","","",""
"430","","","","","","","","","","","","","24.34039550804949","24.34039550804949","24.34039550804949","88","88","88","","","","","",""
"440","","","","","","","","","","","","","24.54008360268485","24.54008360268485","24.54008360268485","90","90","90","","","","","",""
"450","","","","","","","","","","","","","24.741858248022226","24.741858248022226","24.741858248022226","92","92","92","","","","","",""
"460","","","","","","","","","","","","","26.77294985605943","26.77294985605943","26.77294985605943","94","94","94","","","","","",""
"470","","","","","","","","","","","","","24.126616702849017","24.126616702849017","24.126616702849017","96","96","96","","","","","",""
"480","","","","","","","","","","","","","24.965368987195962","24.965368987195962","24.965368987195962","98","98","98","","","","","",""
"490","","","","","","","","","","","","","23.433481666812565","23.433481666812565","23.433481666812565","100","100","100","","","","","",""
"500","","","","","","","","","","","","","1","1","1","103","103","103","","","","","",""
"510","","","","","","","","","","","","","23.4802040272066","23.4802040272066","23.4802040272066","105","105","105","","","","","",""
"520","","","","","","","","","","","","","26.74830685363193","26.74830685363193","26.74830685363193","107","107","107","","","","","",""
"530","","","","","","","","","","","","","24.178313262479744","24.178313262479744","24.178313262479744","109","109","109","","","","","",""
"540","","","","","","","","","","","","","23.159709119470758","23.159709119470758","23.159709119470758","111","111","111","","","","","",""
"550","","","","","","","","","","","","","25.133748432093267","25.133748432093267","25.133748432093267","113","113","113","","","","","",""
"560","","","","","","","","","","","","","25.564591952109463","25.564591952109463","25.564591952109463","115","115","115","","","","","",""
"570","","","","","","","","","","","","","26.07854579407554","26.07854579407554","26.07854579407554","117","117","117","","","","","",""
"580","","","","","","","","","","","","","26.483070002811623","26.483070002811623","26.483070002811623","119","119","119","","","","","",""
"590","","","","","","","","","","","","","23.754910535388472","23.754910535388472","23.754910535388472","121","121","121","","","","","",""
"600","","","","","","","","","","","","","24.370074916793534","24.370074916793534","24.370074916793534","123","123","123","","","","","",""
"610","","","","","","","","","","","","","24.744501104735637","24.744501104735637","24.744501104735637","125","125","125","","","","","",""
"620","","","","","","","","","","","","","25.935645227500324","25.935645227500324","25.935645227500324","127","127","127","","","","","",""
"630","","","","","","","","","","","","","23.894786052061928","23.894786052061928","23.894786052061928","129","129","129","","","","","",""
"640","","","","","","","","","","","","","25.194050991885014","25.194050991885014","25.194050991885014","131","131","131","","","","","",""
"650","","","","","","","","","","","","","25.537125249608742","25.537125249608742","25.537125249608742","133","133","133","","","","","",""
"660","","","","","","","","","","","","","24.451349521373825","24.451349521373825","24.451349521373825","135","135","135","","","","","",""
"670","","","","","","","","","","","","","23.865052757816056","23.865052757816056","23.865052757816056","137","137","137","","","","","",""
"680","","","","","","","","","","","","","25.56002836830697","25.56002836830697","25.56002836830697","139","139","139","","","","","",""
"690","","","","","","","","","","","","","24.314591907771334","24.314591907771334","24.314591907771334","141","141","141","","","","","",""
"700","","","","","","","","","","","","","25.491049940675293","25.491049940675293","25.491049940675293","143","143","143","","","","","",""
"710","","","","","","","","","","","","","22.948253747481438","22.948253747481438","22.948253747481438","145","145","145","","","","","",""
"720","","","","","","","","","","","","","24.76100646515315","24.76100646515315","24.76100646515315","147","147","147","","","","","",""
"730","","","","","","","","","","","","","23.90801121755695","23.90801121755695","23.90801121755695","149","149","149","","","","","",""
"740","","","","","","","","","","","","","24.806206962152398","24.806206962152398","24.806206962152398","151","151","151","","","","","",""
"750","","","","","","","","","","","","","24.37904763841496","24.37904763841496","24.37904763841496","153","153","153","","","","","",""
