"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"340","","","","","","","","","","","","","-14.46149967277367","-14.46149967277367","-14.46149967277367","70","70","70","","","","","",""
"350","","","","","","","","","","","","","-14.688815320752818","-14.688815320752818","-14.688815320752818","72","72","72","","","","","",""
"360","","","","","","","","","","","","","-14.653628624997557","-14.653628624997557","-14.653628624997557","74","74","74","","","","","",""
"370","","","","","","","","","","","","","-14.504643034065632","-14.504643034065632","-14.504643034065632","76","76","76","","","","","",""
"380","","","","","","","","","","","","","-14.662450731059314","-14.662450731059314","-14.662450731059314","78","78","78","","","","","",""
"390","","","","","","","","","","","","","-14.711674791729052","-14.711674791729052","-14.711674791729052","80","80","80","","","","","",""
"400","","","","","","","","","","","","","-14.55560651393396","-14.55560651393396","-14.55560651393396","82","82","82","","","","","",""
"410","","","","","","","","","","","","","-14.7476110542369","-14.7476110542369","-14.7476110542369","84","84","84","","","","","",""
"420","","","","","","","","","","","","","-14.63596355493966","-14.63596355493966","-14.63596355493966","86","86","86","","","","","",""
"430","","","","","","","","","","","","","-14.544374530377365","-14.544374530377365","-14.544374530377365","88","88","88","","","","","",""
"440","","","","","","","","","","","","","-14.719619296955745","-14.719619296955745","-14.719619296955745","90","90","90","","","","","",""
"450","","","","","","","","","","","","","-14.636153481346875","-14.636153481346875","-14.636153481346875","92","92","92","","","","","",""
"460","","","","","","","","","","","","","-14.691973221668652","-14.691973221668652","-14.691973221668652","94","94","94","","","","","",""
"470","","","","","","","","","","","","","-14.650875792701989","-14.650875792701989","-14.650875792701989","96","96","96","","","","","",""
"480","","","","","","","","","","","","","-14.508595748029572","-14.508595748029572","-14.508595748029572","98","98","98","","","","","",""
"490","","","","","","","","","","","","","-14.69201503598083","-14.69201503598083","-14.69201503598083","100","100","100","","","","","",""
"500","","","","","","","","","","","","","-14.599239417003844","-14.599239417003844","-14.599239417003844","103","103","103","","","","","",""
"510","","","","","","","","","","","","","-14.658505003765711","-14.658505003765711","-14.658505003765711","105","105","105","","","","","",""
"520","","","","","","","","","","","","","-14.690789653708737","-14.690789653708737","-14.690789653708737","107","107","107","","","","","",""
"530","","","","","","","","","","","","","-12.641293046653113","-12.641293046653113","-12.641293046653113","109","109","109","","","","","",""
"540","","","","","","","","","","","","","-14.72948764505175","-14.72948764505175","-14.72948764505175","111","111","111","","","","","",""
"550","","","","","","","","","","","","","-14.700451918949655","-14.700451918949655","-14.700451918949655","113","113","113","","","","","",""
"560","","","","","","","","","","","","","-14.542470866350241","-14.542470866350241","-14.542470866350241","115","115","115","","","","","",""
"570","","","","","","","","","","","","","-14.688239841501776","-14.688239841501776","-14.688239841501776","117","117","117","","","","","",""
"580","","","","","","","","","","","","","-14.655931177325137","-14.655931177325137","-14.655931177325137","119","119","119","","","","","",""
"590","","","","","","","","","","","","","-14.551307888965418","-14.551307888965418","-14.551307888965418","121","121","121","","","","","",""
"600","","","","","","","","","","","","","-14.661478514212819","-14.661478514212819","-14.661478514212819","123","123","123","","","","","",""
