"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1910","","","","","","","","","","","","","-14.750460341503885","-14.750460341503885","-14.750460341503885","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","-14.557148893672663","-14.557148893672663","-14.557148893672663","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","-14.659348736868537","-14.659348736868537","-14.659348736868537","391","391","391","","","","","",""
"1940","","","","","","","","","","","","","-14.611357970286688","-14.611357970286688","-14.611357970286688","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","-14.694860576564619","-14.694860576564619","-14.694860576564619","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","-14.686166561148863","-14.686166561148863","-14.686166561148863","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","-14.553423744927576","-14.553423744927576","-14.553423744927576","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","-14.679641960293642","-14.679641960293642","-14.679641960293642","401","401","401","","","","","",""
"1990","","","","","","","","","","","","","-14.69041339623765","-14.69041339623765","-14.69041339623765","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","-14.672332368607323","-14.672332368607323","-14.672332368607323","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","-14.659516854688547","-14.659516854688547","-14.659516854688547","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","-14.430747581717561","-14.430747581717561","-14.430747581717561","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","-14.729017269741355","-14.729017269741355","-14.729017269741355","412","412","412","","","","","",""
"2040","","","","","","","","","","","","","-14.660581690434535","-14.660581690434535","-14.660581690434535","414","414","414","","","","","",""
"2050","","","","","","","","","","","","","-12.44732638551419","-12.44732638551419","-12.44732638551419","416","416","416","","","","","",""
"2060","","","","","","","","","","","","","-14.69187994444532","-14.69187994444532","-14.69187994444532","418","418","418","","","","","",""
"2070","","","","","","","","","","","","","-14.564611237012405","-14.564611237012405","-14.564611237012405","420","420","420","","","","","",""
"2080","","","","","","","","","","","","","-14.661768403933204","-14.661768403933204","-14.661768403933204","422","422","422","","","","","",""
"2090","","","","","","","","","","","","","-14.704808516531193","-14.704808516531193","-14.704808516531193","424","424","424","","","","","",""
"2100","","","","","","","","","","","","","-14.531795635017305","-14.531795635017305","-14.531795635017305","426","426","426","","","","","",""
"2110","","","","","","","","","","","","","-14.704304275352673","-14.704304275352673","-14.704304275352673","428","428","428","","","","","",""
"2120","","","","","","","","","","","","","-14.648857812867332","-14.648857812867332","-14.648857812867332","430","430","430","","","","","",""
"2130","","","","","","","","","","","","","-14.559662867913786","-14.559662867913786","-14.559662867913786","432","432","432","","","","","",""
"2140","","","","","","","","","","","","","-14.722094429432403","-14.722094429432403","-14.722094429432403","434","434","434","","","","","",""
"2150","","","","","","","","","","","","","-14.647610844959475","-14.647610844959475","-14.647610844959475","436","436","436","","","","","",""
"2160","","","","","","","","","","","","","-14.657019501089412","-14.657019501089412","-14.657019501089412","438","438","438","","","","","",""
"2170","","","","","","","","","","","","","-14.702902892047076","-14.702902892047076","-14.702902892047076","440","440","440","","","","","",""
"2180","","","","","","","","","","","","","-14.501582376097806","-14.501582376097806","-14.501582376097806","442","442","442","","","","","",""
"2190","","","","","","","","","","","","","-14.696229852838123","-14.696229852838123","-14.696229852838123","444","444","444","","","","","",""
"2200","","","","","","","","","","","","","-14.662165619512656","-14.662165619512656","-14.662165619512656","446","446","446","","","","","",""
"2210","","","","","","","","","","","","","-14.560471566786202","-14.560471566786202","-14.560471566786202","448","448","448","","","","","",""
"2220","","","","","","","","","","","","","-12.916466425328098","-12.916466425328098","-12.916466425328098","450","450","450","","","","","",""
"2230","","","","","","","","","","","","","-14.603261341438124","-14.603261341438124","-14.603261341438124","452","452","452","","","","","",""
"2240","","","","","","","","","","","","","-14.628306764992525","-14.628306764992525","-14.628306764992525","454","454","454","","","","","",""
"2250","","","","","","","","","","","","","-14.63357632909728","-14.63357632909728","-14.63357632909728","456","456","456","","","","","",""
"2260","","","","","","","","","","","","","-14.580632741950588","-14.580632741950588","-14.580632741950588","458","458","458","","","","","",""
"2270","","","","","","","","","","","","","-14.672726948741554","-14.672726948741554","-14.672726948741554","460","460","460","","","","","",""
"2280","","","","","","","","","","","","","-14.666820090627228","-14.666820090627228","-14.666820090627228","462","462","462","","","","","",""
"2290","","","","","","","","","","","","","-14.49458204259138","-14.49458204259138","-14.49458204259138","464","464","464","","","","","",""
"2300","","","","","","","","","","","","","-14.658884431492256","-14.658884431492256","-14.658884431492256","466","466","466","","","","","",""
"2310","","","","","","","","","","","","","-14.675317910467019","-14.675317910467019","-14.675317910467019","468","468","468","","","","","",""
"2320","","","","","","","","","","","","","-14.523700479045674","-14.523700479045674","-14.523700479045674","470","470","470","","","","","",""
"2330","","","","","","","","","","","","","-14.711236190034422","-14.711236190034422","-14.711236190034422","472","472","472","","","","","",""
"2340","","","","","","","","","","","","","-14.575091006271673","-14.575091006271673","-14.575091006271673","474","474","474","","","","","",""
"2350","","","","","","","","","","","","","-14.648744298030921","-14.648744298030921","-14.648744298030921","476","476","476","","","","","",""
"2360","","","","","","","","","","","","","-14.611489994410919","-14.611489994410919","-14.611489994410919","478","478","478","","","","","",""
"2370","","","","","","","","","","","","","-14.543402149647012","-14.543402149647012","-14.543402149647012","480","480","480","","","","","",""
"2380","","","","","","","","","","","","","-14.643010091759834","-14.643010091759834","-14.643010091759834","482","482","482","","","","","",""
"2390","","","","","","","","","","","","","-14.658229650795786","-14.658229650795786","-14.658229650795786","484","484","484","","","","","",""
"2400","","","","","","","","","","","","","-14.53014221961152","-14.53014221961152","-14.53014221961152","486","486","486","","","","","",""
"2410","","","","","","","","","","","","","-14.640211742364125","-14.640211742364125","-14.640211742364125","488","488","488","","","","","",""
"2420","","","","","","","","","","","","","-14.637960422743426","-14.637960422743426","-14.637960422743426","490","490","490","","","","","",""
"2430","","","","","","","","","","","","","-14.63641204454683","-14.63641204454683","-14.63641204454683","492","492","492","","","","","",""
"2440","","","","","","","","","","","","","-14.605926371695668","-14.605926371695668","-14.605926371695668","494","494","494","","","","","",""
"2450","","","","","","","","","","","","","-14.589490845108008","-14.589490845108008","-14.589490845108008","496","496","496","","","","","",""
"2460","","","","","","","","","","","","","-14.694435847060106","-14.694435847060106","-14.694435847060106","498","498","498","","","","","",""
"2470","","","","","","","","","","","","","-14.702126608462553","-14.702126608462553","-14.702126608462553","500","500","500","","","","","",""
"2480","","","","","","","","","","","","","-14.544547902025608","-14.544547902025608","-14.544547902025608","502","502","502","","","","","",""
"2490","","","","","","","","","","","","","-12.793155517344255","-12.793155517344255","-12.793155517344255","504","504","504","","","","","",""
"2500","","","","","","","","","","","","","-14.485107132465751","-14.485107132465751","-14.485107132465751","507","507","507","","","","","",""
"2510","","","","","","","","","","","","","-14.646420028941955","-14.646420028941955","-14.646420028941955","509","509","509","","","","","",""
"2520","","","","","","","","","","","","","-14.67405039072425","-14.67405039072425","-14.67405039072425","511","511","511","","","","","",""
"2530","","","","","","","","","","","","","-14.596824468093784","-14.596824468093784","-14.596824468093784","513","513","513","","","","","",""
"2540","","","","","","","","","","","","","-14.725378130018667","-14.725378130018667","-14.725378130018667","515","515","515","","","","","",""
"2550","","","","","","","","","","","","","-14.530049412963942","-14.530049412963942","-14.530049412963942","517","517","517","","","","","",""
"2560","","","","","","","","","","","","","-14.649922699665607","-14.649922699665607","-14.649922699665607","519","519","519","","","","","",""
"2570","","","","","","","","","","","","","-14.727905299129018","-14.727905299129018","-14.727905299129018","521","521","521","","","","","",""
"2580","","","","","","","","","","","","","-14.43528731408015","-14.43528731408015","-14.43528731408015","523","523","523","","","","","",""
"2590","","","","","","","","","","","","","-14.740895761256269","-14.740895761256269","-14.740895761256269","525","525","525","","","","","",""
"2600","","","","","","","","","","","","","-14.719666111699613","-14.719666111699613","-14.719666111699613","527","527","527","","","","","",""
"2610","","","","","","","","","","","","","-14.479834584886042","-14.479834584886042","-14.479834584886042","529","529","529","","","","","",""
"2620","","","","","","","","","","","","","-14.666159793039958","-14.666159793039958","-14.666159793039958","531","531","531","","","","","",""
"2630","","","","","","","","","","","","","-14.71499901711966","-14.71499901711966","-14.71499901711966","533","533","533","","","","","",""
"2640","","","","","","","","","","","","","-14.58683022335443","-14.58683022335443","-14.58683022335443","535","535","535","","","","","",""
"2650","","","","","","","","","","","","","-14.691296184587626","-14.691296184587626","-14.691296184587626","537","537","537","","","","","",""
"2660","","","","","","","","","","","","","-14.514206309169074","-14.514206309169074","-14.514206309169074","539","539","539","","","","","",""
"2670","","","","","","","","","","","","","-14.613029921833883","-14.613029921833883","-14.613029921833883","541","541","541","","","","","",""
"2680","","","","","","","","","","","","","-14.680828550024332","-14.680828550024332","-14.680828550024332","543","543","543","","","","","",""
"2690","","","","","","","","","","","","","-14.544205891012401","-14.544205891012401","-14.544205891012401","545","545","545","","","","","",""
"2700","","","","","","","","","","","","","-14.725442752692853","-14.725442752692853","-14.725442752692853","547","547","547","","","","","",""
"2710","","","","","","","","","","","","","-14.676216538108182","-14.676216538108182","-14.676216538108182","549","549","549","","","","","",""
"2720","","","","","","","","","","","","","-14.620304419454506","-14.620304419454506","-14.620304419454506","551","551","551","","","","","",""
"2730","","","","","","","","","","","","","-14.662058305117332","-14.662058305117332","-14.662058305117332","553","553","553","","","","","",""
"2740","","","","","","","","","","","","","-14.655532699195833","-14.655532699195833","-14.655532699195833","555","555","555","","","","","",""
"2750","","","","","","","","","","","","","-14.62059746118864","-14.62059746118864","-14.62059746118864","557","557","557","","","","","",""
"2760","","","","","","","","","","","","","-14.692233760877057","-14.692233760877057","-14.692233760877057","559","559","559","","","","","",""
"2770","","","","","","","","","","","","","-14.476159824600591","-14.476159824600591","-14.476159824600591","561","561","561","","","","","",""
"2780","","","","","","","","","","","","","-14.665520386751464","-14.665520386751464","-14.665520386751464","563","563","563","","","","","",""
"2790","","","","","","","","","","","","","-14.655737536652248","-14.655737536652248","-14.655737536652248","565","565","565","","","","","",""
"2800","","","","","","","","","","","","","-14.51562532613935","-14.51562532613935","-14.51562532613935","567","567","567","","","","","",""
"2810","","","","","","","","","","","","","-14.640529537566541","-14.640529537566541","-14.640529537566541","569","569","569","","","","","",""
"2820","","","","","","","","","","","","","-14.643706650888756","-14.643706650888756","-14.643706650888756","571","571","571","","","","","",""
"2830","","","","","","","","","","","","","-14.609940849528778","-14.609940849528778","-14.609940849528778","573","573","573","","","","","",""
"2840","","","","","","","","","","","","","-14.687704589826705","-14.687704589826705","-14.687704589826705","575","575","575","","","","","",""
"2850","","","","","","","","","","","","","-14.640513567629148","-14.640513567629148","-14.640513567629148","577","577","577","","","","","",""
"2860","","","","","","","","","","","","","-14.606051939747438","-14.606051939747438","-14.606051939747438","579","579","579","","","","","",""
"2870","","","","","","","","","","","","","-14.696439047945454","-14.696439047945454","-14.696439047945454","581","581","581","","","","","",""
"2880","","","","","","","","","","","","","-14.61357247358227","-14.61357247358227","-14.61357247358227","583","583","583","","","","","",""
"2890","","","","","","","","","","","","","-14.69199252055239","-14.69199252055239","-14.69199252055239","585","585","585","","","","","",""
"2900","","","","","","","","","","","","","-14.75350533589745","-14.75350533589745","-14.75350533589745","587","587","587","","","","","",""
"2910","","","","","","","","","","","","","-14.475212154638692","-14.475212154638692","-14.475212154638692","589","589","589","","","","","",""
"2920","","","","","","","","","","","","","-14.672242548452726","-14.672242548452726","-14.672242548452726","591","591","591","","","","","",""
"2930","","","","","","","","","","","","","-12.880529102935903","-12.880529102935903","-12.880529102935903","593","593","593","","","","","",""
"2940","","","","","","","","","","","","","-14.610955550025462","-14.610955550025462","-14.610955550025462","595","595","595","","","","","",""
"2950","","","","","","","","","","","","","-14.665768771043062","-14.665768771043062","-14.665768771043062","597","597","597","","","","","",""
"2960","","","","","","","","","","","","","-14.586042370877324","-14.586042370877324","-14.586042370877324","599","599","599","","","","","",""
"2970","","","","","","","","","","","","","-14.623612969540378","-14.623612969540378","-14.623612969540378","601","601","601","","","","","",""
"2980","","","","","","","","","","","","","-14.621949746137869","-14.621949746137869","-14.621949746137869","603","603","603","","","","","",""
"2990","","","","","","","","","","","","","-14.560119329476821","-14.560119329476821","-14.560119329476821","605","605","605","","","","","",""
"3000","","","","","","","","","","","","","-14.690283157757289","-14.690283157757289","-14.690283157757289","608","608","608","","","","","",""
"3010","","","","","","","","","","","","","-14.567874070308168","-14.567874070308168","-14.567874070308168","610","610","610","","","","","",""
"3020","","","","","","","","","","","","","-14.673124758327184","-14.673124758327184","-14.673124758327184","612","612","612","","","","","",""
"3030","","","","","","","","","","","","","-14.67316486129678","-14.67316486129678","-14.67316486129678","614","614","614","","","","","",""
"3040","","","","","","","","","","","","","-14.503042805447281","-14.503042805447281","-14.503042805447281","616","616","616","","","","","",""
"3050","","","","","","","","","","","","","-14.62110553420718","-14.62110553420718","-14.62110553420718","618","618","618","","","","","",""
"3060","","","","","","","","","","","","","-14.665597304858588","-14.665597304858588","-14.665597304858588","620","620","620","","","","","",""
"3070","","","","","","","","","","","","","-14.556203219836334","-14.556203219836334","-14.556203219836334","622","622","622","","","","","",""
"3080","","","","","","","","","","","","","-14.569018937657177","-14.569018937657177","-14.569018937657177","624","624","624","","","","","",""
"3090","","","","","","","","","","","","","-14.51299157481816","-14.51299157481816","-14.51299157481816","626","626","626","","","","","",""
"3100","","","","","","","","","","","","","-14.565121748660257","-14.565121748660257","-14.565121748660257","628","628","628","","","","","",""
"3110","","","","","","","","","","","","","-14.68964968499679","-14.68964968499679","-14.68964968499679","630","630","630","","","","","",""
"3120","","","","","","","","","","","","","-14.484853887417692","-14.484853887417692","-14.484853887417692","632","632","632","","","","","",""
"3130","","","","","","","","","","","","","-14.657326821767732","-14.657326821767732","-14.657326821767732","634","634","634","","","","","",""
"3140","","","","","","","","","","","","","-14.675386908331731","-14.675386908331731","-14.675386908331731","636","636","636","","","","","",""
"3150","","","","","","","","","","","","","-14.527345956600579","-14.527345956600579","-14.527345956600579","638","638","638","","","","","",""
"3160","","","","","","","","","","","","","-14.669024184080461","-14.669024184080461","-14.669024184080461","640","640","640","","","","","",""
"3170","","","","","","","","","","","","","-14.596746682234473","-14.596746682234473","-14.596746682234473","642","642","642","","","","","",""
"3180","","","","","","","","","","","","","-14.689152913365145","-14.689152913365145","-14.689152913365145","644","644","644","","","","","",""
"3190","","","","","","","","","","","","","-14.640288395220741","-14.640288395220741","-14.640288395220741","646","646","646","","","","","",""
"3200","","","","","","","","","","","","","-14.555996419394182","-14.555996419394182","-14.555996419394182","648","648","648","","","","","",""
"3210","","","","","","","","","","","","","-14.649554928465696","-14.649554928465696","-14.649554928465696","650","650","650","","","","","",""
"3220","","","","","","","","","","","","","-14.507792801172316","-14.507792801172316","-14.507792801172316","652","652","652","","","","","",""
"3230","","","","","","","","","","","","","-14.648886591556108","-14.648886591556108","-14.648886591556108","654","654","654","","","","","",""
"3240","","","","","","","","","","","","","-14.680467254084885","-14.680467254084885","-14.680467254084885","656","656","656","","","","","",""
"3250","","","","","","","","","","","","","-14.556531586809186","-14.556531586809186","-14.556531586809186","658","658","658","","","","","",""
"3260","","","","","","","","","","","","","-14.650407226434051","-14.650407226434051","-14.650407226434051","660","660","660","","","","","",""
"3270","","","","","","","","","","","","","-14.629293721886336","-14.629293721886336","-14.629293721886336","662","662","662","","","","","",""
"3280","","","","","","","","","","","","","-14.565333550373717","-14.565333550373717","-14.565333550373717","664","664","664","","","","","",""
"3290","","","","","","","","","","","","","-14.641331273199954","-14.641331273199954","-14.641331273199954","666","666","666","","","","","",""
"3300","","","","","","","","","","","","","-14.515386710961227","-14.515386710961227","-14.515386710961227","668","668","668","","","","","",""
"3310","","","","","","","","","","","","","-14.637604426385302","-14.637604426385302","-14.637604426385302","670","670","670","","","","","",""
"3320","","","","","","","","","","","","","-14.646784446034546","-14.646784446034546","-14.646784446034546","672","672","672","","","","","",""
"3330","","","","","","","","","","","","","-14.53460148127228","-14.53460148127228","-14.53460148127228","674","674","674","","","","","",""
"3340","","","","","","","","","","","","","-14.695838834876831","-14.695838834876831","-14.695838834876831","676","676","676","","","","","",""
"3350","","","","","","","","","","","","","-14.691228645118947","-14.691228645118947","-14.691228645118947","678","678","678","","","","","",""
"3360","","","","","","","","","","","","","-14.571581309323582","-14.571581309323582","-14.571581309323582","680","680","680","","","","","",""
"3370","","","","","","","","","","","","","-12.824100468046506","-12.824100468046506","-12.824100468046506","682","682","682","","","","","",""
"3380","","","","","","","","","","","","","-14.520356863662338","-14.520356863662338","-14.520356863662338","684","684","684","","","","","",""
"3390","","","","","","","","","","","","","-14.682002483140352","-14.682002483140352","-14.682002483140352","686","686","686","","","","","",""
"3400","","","","","","","","","","","","","-14.60350444341612","-14.60350444341612","-14.60350444341612","688","688","688","","","","","",""
"3410","","","","","","","","","","","","","-14.508144079486346","-14.508144079486346","-14.508144079486346","690","690","690","","","","","",""
"3420","","","","","","","","","","","","","-14.658018340416014","-14.658018340416014","-14.658018340416014","692","692","692","","","","","",""
"3430","","","","","","","","","","","","","-14.563949047668498","-14.563949047668498","-14.563949047668498","694","694","694","","","","","",""
"3440","","","","","","","","","","","","","-14.679415582689808","-14.679415582689808","-14.679415582689808","696","696","696","","","","","",""
"3450","","","","","","","","","","","","","-14.68592873385281","-14.68592873385281","-14.68592873385281","698","698","698","","","","","",""
"3460","","","","","","","","","","","","","-14.41573638196269","-14.41573638196269","-14.41573638196269","700","700","700","","","","","",""
"3470","","","","","","","","","","","","","-14.613551789052607","-14.613551789052607","-14.613551789052607","702","702","702","","","","","",""
"3480","","","","","","","","","","","","","-14.623369197620825","-14.623369197620825","-14.623369197620825","704","704","704","","","","","",""
"3490","","","","","","","","","","","","","-14.493979421699654","-14.493979421699654","-14.493979421699654","706","706","706","","","","","",""
"3500","","","","","","","","","","","","","-14.510223870100702","-14.510223870100702","-14.510223870100702","709","709","709","","","","","",""
"3510","","","","","","","","","","","","","-14.707362473368342","-14.707362473368342","-14.707362473368342","711","711","711","","","","","",""
"3520","","","","","","","","","","","","","-14.700505052275188","-14.700505052275188","-14.700505052275188","713","713","713","","","","","",""
"3530","","","","","","","","","","","","","-14.542689888412058","-14.542689888412058","-14.542689888412058","715","715","715","","","","","",""
"3540","","","","","","","","","","","","","-14.622685723617845","-14.622685723617845","-14.622685723617845","717","717","717","","","","","",""
"3550","","","","","","","","","","","","","-14.712968173980341","-14.712968173980341","-14.712968173980341","719","719","719","","","","","",""
"3560","","","","","","","","","","","","","-14.600530575423155","-14.600530575423155","-14.600530575423155","721","721","721","","","","","",""
"3570","","","","","","","","","","","","","-14.669154045883905","-14.669154045883905","-14.669154045883905","723","723","723","","","","","",""
"3580","","","","","","","","","","","","","-14.593575630077584","-14.593575630077584","-14.593575630077584","725","725","725","","","","","",""
"3590","","","","","","","","","","","","","-14.673397462843326","-14.673397462843326","-14.673397462843326","727","727","727","","","","","",""
"3600","","","","","","","","","","","","","-14.69166605459477","-14.69166605459477","-14.69166605459477","729","729","729","","","","","",""
"3610","","","","","","","","","","","","","-14.384570973605012","-14.384570973605012","-14.384570973605012","731","731","731","","","","","",""
"3620","","","","","","","","","","","","","-14.630682702625633","-14.630682702625633","-14.630682702625633","733","733","733","","","","","",""
"3630","","","","","","","","","","","","","-14.648531662297062","-14.648531662297062","-14.648531662297062","735","735","735","","","","","",""
"3640","","","","","","","","","","","","","-14.600211337883675","-14.600211337883675","-14.600211337883675","737","737","737","","","","","",""
"3650","","","","","","","","","","","","","-14.68097467921057","-14.68097467921057","-14.68097467921057","739","739","739","","","","","",""
"3660","","","","","","","","","","","","","-14.46622716844839","-14.46622716844839","-14.46622716844839","741","741","741","","","","","",""
"3670","","","","","","","","","","","","","-14.658777165122311","-14.658777165122311","-14.658777165122311","743","743","743","","","","","",""
"3680","","","","","","","","","","","","","-14.572119205470576","-14.572119205470576","-14.572119205470576","745","745","745","","","","","",""
"3690","","","","","","","","","","","","","-14.349843166880746","-14.349843166880746","-14.349843166880746","747","747","747","","","","","",""
"3700","","","","","","","","","","","","","-14.64404057543696","-14.64404057543696","-14.64404057543696","749","749","749","","","","","",""
"3710","","","","","","","","","","","","","-14.5963117316878","-14.5963117316878","-14.5963117316878","751","751","751","","","","","",""
"3720","","","","","","","","","","","","","-14.634784206334105","-14.634784206334105","-14.634784206334105","753","753","753","","","","","",""
"3730","","","","","","","","","","","","","-14.651002134812241","-14.651002134812241","-14.651002134812241","755","755","755","","","","","",""
"3740","","","","","","","","","","","","","-12.232658122678995","-12.232658122678995","-12.232658122678995","757","757","757","","","","","",""
"3750","","","","","","","","","","","","","-14.649837950751829","-14.649837950751829","-14.649837950751829","759","759","759","","","","","",""
"3760","","","","","","","","","","","","","-14.749688753441186","-14.749688753441186","-14.749688753441186","761","761","761","","","","","",""
"3770","","","","","","","","","","","","","-14.5950117968012","-14.5950117968012","-14.5950117968012","763","763","763","","","","","",""
"3780","","","","","","","","","","","","","-14.622419679918073","-14.622419679918073","-14.622419679918073","765","765","765","","","","","",""
"3790","","","","","","","","","","","","","-14.583159588122532","-14.583159588122532","-14.583159588122532","767","767","767","","","","","",""
"3800","","","","","","","","","","","","","-14.631575872033572","-14.631575872033572","-14.631575872033572","769","769","769","","","","","",""
"3810","","","","","","","","","","","","","-14.724236017855002","-14.724236017855002","-14.724236017855002","771","771","771","","","","","",""
"3820","","","","","","","","","","","","","-14.462065313137245","-14.462065313137245","-14.462065313137245","773","773","773","","","","","",""
"3830","","","","","","","","","","","","","-14.673732742875597","-14.673732742875597","-14.673732742875597","775","775","775","","","","","",""
"3840","","","","","","","","","","","","","-14.684426421868109","-14.684426421868109","-14.684426421868109","777","777","777","","","","","",""
"3850","","","","","","","","","","","","","-14.547902668959917","-14.547902668959917","-14.547902668959917","779","779","779","","","","","",""
"3860","","","","","","","","","","","","","-14.641225860712918","-14.641225860712918","-14.641225860712918","781","781","781","","","","","",""
"3870","","","","","","","","","","","","","-14.619648303386256","-14.619648303386256","-14.619648303386256","783","783","783","","","","","",""
"3880","","","","","","","","","","","","","-14.694051359326764","-14.694051359326764","-14.694051359326764","785","785","785","","","","","",""
"3890","","","","","","","","","","","","","-14.64515909394447","-14.64515909394447","-14.64515909394447","787","787","787","","","","","",""
"3900","","","","","","","","","","","","","-14.445194615215561","-14.445194615215561","-14.445194615215561","789","789","789","","","","","",""
"3910","","","","","","","","","","","","","-14.685422573021059","-14.685422573021059","-14.685422573021059","791","791","791","","","","","",""
"3920","","","","","","","","","","","","","-14.617260028707905","-14.617260028707905","-14.617260028707905","793","793","793","","","","","",""
"3930","","","","","","","","","","","","","-14.535448326321248","-14.535448326321248","-14.535448326321248","795","795","795","","","","","",""
"3940","","","","","","","","","","","","","-14.658818790691416","-14.658818790691416","-14.658818790691416","797","797","797","","","","","",""
"3950","","","","","","","","","","","","","-14.673371796103805","-14.673371796103805","-14.673371796103805","799","799","799","","","","","",""
"3960","","","","","","","","","","","","","-14.600921303052571","-14.600921303052571","-14.600921303052571","801","801","801","","","","","",""
"3970","","","","","","","","","","","","","-14.707136851556543","-14.707136851556543","-14.707136851556543","803","803","803","","","","","",""
"3980","","","","","","","","","","","","","-14.55310025208669","-14.55310025208669","-14.55310025208669","805","805","805","","","","","",""
"3990","","","","","","","","","","","","","-14.703365157934035","-14.703365157934035","-14.703365157934035","807","807","807","","","","","",""
"4000","","","","","","","","","","","","","-14.430584670055794","-14.430584670055794","-14.430584670055794","810","810","810","","","","","",""
"4010","","","","","","","-14.566465371392006","-14.566465371392006","-14.566465371392006","3","3","3","-12.848275873292145","-12.848275873292145","-12.848275873292145","812","812","812","","","","","",""
"4020","","","","","","","-14.70225544653736","-14.70225544653736","-14.70225544653736","5","5","5","-14.67420761545447","-14.67420761545447","-14.67420761545447","814","814","814","","","","","",""
"4030","","","","","","","-14.72038935661202","-14.72038935661202","-14.72038935661202","7","7","7","-14.501861276576527","-14.501861276576527","-14.501861276576527","816","816","816","","","","","",""
"4040","","","","","","","-14.516455830918389","-14.516455830918389","-14.516455830918389","9","9","9","-14.694217056594058","-14.694217056594058","-14.694217056594058","818","818","818","","","","","",""
"4050","","","","","","","-14.607010460698891","-14.607010460698891","-14.607010460698891","11","11","11","-14.673484088752138","-14.673484088752138","-14.673484088752138","820","820","820","","","","","",""
"4060","","","","","","","-14.641336064712704","-14.641336064712704","-14.641336064712704","13","13","13","-14.608328433695547","-14.608328433695547","-14.608328433695547","822","822","822","","","","","",""
"4070","","","","","","","-14.570513544933947","-14.570513544933947","-14.570513544933947","15","15","15","-14.709203161293823","-14.709203161293823","-14.709203161293823","824","824","824","","","","","",""
"4080","","","","","","","-14.619876026319709","-14.619876026319709","-14.619876026319709","17","17","17","-14.529714375101827","-14.529714375101827","-14.529714375101827","826","826","826","","","","","",""
"4090","","","","","","","-14.625208043891622","-14.625208043891622","-14.625208043891622","19","19","19","-14.683917151635072","-14.683917151635072","-14.683917151635072","828","828","828","","","","","",""
"4100","","","","","","","-14.436594665683703","-14.436594665683703","-14.436594665683703","21","21","21","-14.732447981130907","-14.732447981130907","-14.732447981130907","830","830","830","","","","","",""
"4110","","","","","","","-14.61769145257899","-14.61769145257899","-14.61769145257899","23","23","23","-14.573188787553578","-14.573188787553578","-14.573188787553578","832","832","832","","","","","",""
"4120","","","","","","","-14.633265217321622","-14.633265217321622","-14.633265217321622","25","25","25","-14.675879539846202","-14.675879539846202","-14.675879539846202","834","834","834","","","","","",""
"4130","","","","","","","-14.490685458164211","-14.490685458164211","-14.490685458164211","27","27","27","-14.670489671678022","-14.670489671678022","-14.670489671678022","836","836","836","","","","","",""
"4140","","","","","","","-14.61159179777441","-14.61159179777441","-14.61159179777441","29","29","29","-14.497818269331724","-14.497818269331724","-14.497818269331724","838","838","838","","","","","",""
"4150","","","","","","","-14.687270630618958","-14.687270630618958","-14.687270630618958","31","31","31","-14.695183966628164","-14.695183966628164","-14.695183966628164","840","840","840","","","","","",""
"4160","","","","","","","-14.492140563833928","-14.492140563833928","-14.492140563833928","33","33","33","-14.647112117236501","-14.647112117236501","-14.647112117236501","842","842","842","","","","","",""
"4170","","","","","","","-14.700498611851637","-14.700498611851637","-14.700498611851637","35","35","35","-14.729704254094443","-14.729704254094443","-14.729704254094443","844","844","844","","","","","",""
"4180","","","","","","","-14.635203898599938","-14.635203898599938","-14.635203898599938","37","37","37","-14.68837647355462","-14.68837647355462","-14.68837647355462","846","846","846","","","","","",""
"4190","","","","","","","-14.486325020914432","-14.486325020914432","-14.486325020914432","39","39","39","-14.572850175057399","-14.572850175057399","-14.572850175057399","848","848","848","","","","","",""
"4200","","","","","","","-14.661800436649834","-14.661800436649834","-14.661800436649834","41","41","41","-14.685597716789658","-14.685597716789658","-14.685597716789658","850","850","850","","","","","",""
