"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"400","","","","","","","","","","","","","4.620918468843667","4.620918468843667","4.620918468843667","82","82","82","","","","","",""
"410","","","","","","","","","","","","","4.708178888652318","4.708178888652318","4.708178888652318","84","84","84","","","","","",""
"420","","","","","","","","","","","","","4.660836054867287","4.660836054867287","4.660836054867287","86","86","86","","","","","",""
"430","","","","","","","","","","","","","4.605280705538255","4.605280705538255","4.605280705538255","88","88","88","","","","","",""
"440","","","","","","","","","","","","","4.617068258842271","4.617068258842271","4.617068258842271","90","90","90","","","","","",""
"450","","","","","","","","","","","","","4.628881953509218","4.628881953509218","4.628881953509218","92","92","92","","","","","",""
"460","","","","","","","","","","","","","4.742704199433846","4.742704199433846","4.742704199433846","94","94","94","","","","","",""
"470","","","","","","","","","","","","","4.5925537142021655","4.5925537142021655","4.5925537142021655","96","96","96","","","","","",""
"480","","","","","","","","","","","","","4.641856324690309","4.641856324690309","4.641856324690309","98","98","98","","","","","",""
"490","","","","","","","","","","","","","4.550499415724226","4.550499415724226","4.550499415724226","100","100","100","","","","","",""
"500","","","","","","","","","","","","","0","0","0","103","103","103","","","","","",""
"510","","","","","","","","","","","","","4.553373039440963","4.553373039440963","4.553373039440963","105","105","105","","","","","",""
"520","","","","","","","","","","","","","4.741375667852461","4.741375667852461","4.741375667852461","107","107","107","","","","","",""
"530","","","","","","","","","","","","","4.595641697094937","4.595641697094937","4.595641697094937","109","109","109","","","","","",""
"540","","","","","","","","","","","","","4.53354522841605","4.53354522841605","4.53354522841605","111","111","111","","","","","",""
"550","","","","","","","","","","","","","4.65155394482104","4.65155394482104","4.65155394482104","113","113","113","","","","","",""
"560","","","","","","","","","","","","","4.676075093594939","4.676075093594939","4.676075093594939","115","115","115","","","","","",""
"570","","","","","","","","","","","","","4.704791518360924","4.704791518360924","4.704791518360924","117","117","117","","","","","",""
"580","","","","","","","","","","","","","4.726998468584813","4.726998468584813","4.726998468584813","119","119","119","","","","","",""
"590","","","","","","","","","","","","","4.570153868237069","4.570153868237069","4.570153868237069","121","121","121","","","","","",""
"600","","","","","","","","","","","","","4.607038780988435","4.607038780988435","4.607038780988435","123","123","123","","","","","",""
"610","","","","","","","","","","","","","4.629036049964392","4.629036049964392","4.629036049964392","125","125","125","","","","","",""
"620","","","","","","","","","","","","","4.696864356431235","4.696864356431235","4.696864356431235","127","127","127","","","","","",""
"630","","","","","","","","","","","","","4.578623944999002","4.578623944999002","4.578623944999002","129","129","129","","","","","",""
"640","","","","","","","","","","","","","4.655011208861745","4.655011208861745","4.655011208861745","131","131","131","","","","","",""
"650","","","","","","","","","","","","","4.674524222842519","4.674524222842519","4.674524222842519","133","133","133","","","","","",""
"660","","","","","","","","","","","","","4.611842187633973","4.611842187633973","4.611842187633973","135","135","135","","","","","",""
"670","","","","","","","","","","","","","4.57682762060727","4.57682762060727","4.57682762060727","137","137","137","","","","","",""
"680","","","","","","","","","","","","","4.675817532377007","4.675817532377007","4.675817532377007","139","139","139","","","","","",""
"690","","","","","","","","","","","","","4.603750472703938","4.603750472703938","4.603750472703938","141","141","141","","","","","",""
"700","","","","","","","","","","","","","4.671918892061128","4.671918892061128","4.671918892061128","143","143","143","","","","","",""
"710","","","","","","","","","","","","","4.520312470500303","4.520312470500303","4.520312470500303","145","145","145","","","","","",""
"720","","","","","","","","","","","","","4.629998052120258","4.629998052120258","4.629998052120258","147","147","147","","","","","",""
"730","","","","","","","","","","","","","4.5794222196712475","4.5794222196712475","4.5794222196712475","149","149","149","","","","","",""
"740","","","","","","","","","","","","","4.632629249092338","4.632629249092338","4.632629249092338","151","151","151","","","","","",""
"750","","","","","","","","","","","","","4.607569863414299","4.607569863414299","4.607569863414299","153","153","153","","","","","",""
