"train/global_step","glad-glitter-9 - train/step_time","glad-glitter-9 - train/step_time__MIN","glad-glitter-9 - train/step_time__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/step_time","sleek-moon-7 - train/step_time__MIN","sleek-moon-7 - train/step_time__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/step_time","magic-universe-6 - train/step_time__MIN","magic-universe-6 - train/step_time__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/step_time","visionary-oath-5 - train/step_time__MIN","visionary-oath-5 - train/step_time__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"380","","","","","","","","","","","","","2.182445526123047","2.182445526123047","2.182445526123047","78","78","78","","","","","",""
"390","","","","","","","","","","","","","2.175143241882324","2.175143241882324","2.175143241882324","80","80","80","","","","","",""
"400","","","","","","","","","","","","","2.198465585708618","2.198465585708618","2.198465585708618","82","82","82","","","","","",""
"410","","","","","","","","","","","","","2.1698429584503174","2.1698429584503174","2.1698429584503174","84","84","84","","","","","",""
"420","","","","","","","","","","","","","2.1863951683044434","2.1863951683044434","2.1863951683044434","86","86","86","","","","","",""
"430","","","","","","","","","","","","","2.2001633644104004","2.2001633644104004","2.2001633644104004","88","88","88","","","","","",""
"440","","","","","","","","","","","","","2.173969268798828","2.173969268798828","2.173969268798828","90","90","90","","","","","",""
"450","","","","","","","","","","","","","2.1863667964935303","2.1863667964935303","2.1863667964935303","92","92","92","","","","","",""
"460","","","","","","","","","","","","","2.1780600547790527","2.1780600547790527","2.1780600547790527","94","94","94","","","","","",""
"470","","","","","","","","","","","","","2.1841697692871094","2.1841697692871094","2.1841697692871094","96","96","96","","","","","",""
"480","","","","","","","","","","","","","2.2055890560150146","2.2055890560150146","2.2055890560150146","98","98","98","","","","","",""
"490","","","","","","","","","","","","","2.178053855895996","2.178053855895996","2.178053855895996","100","100","100","","","","","",""
"500","","","","","","","","","","","","","2.191895008087158","2.191895008087158","2.191895008087158","103","103","103","","","","","",""
"510","","","","","","","","","","","","","2.183032989501953","2.183032989501953","2.183032989501953","105","105","105","","","","","",""
"520","","","","","","","","","","","","","2.1782355308532715","2.1782355308532715","2.1782355308532715","107","107","107","","","","","",""
"530","","","","","","","","","","","","","2.531386613845825","2.531386613845825","2.531386613845825","109","109","109","","","","","",""
"540","","","","","","","","","","","","","2.1725127696990967","2.1725127696990967","2.1725127696990967","111","111","111","","","","","",""
"550","","","","","","","","","","","","","2.1768038272857666","2.1768038272857666","2.1768038272857666","113","113","113","","","","","",""
"560","","","","","","","","","","","","","2.200451374053955","2.200451374053955","2.200451374053955","115","115","115","","","","","",""
"570","","","","","","","","","","","","","2.1786136627197266","2.1786136627197266","2.1786136627197266","117","117","117","","","","","",""
"580","","","","","","","","","","","","","2.1834163665771484","2.1834163665771484","2.1834163665771484","119","119","119","","","","","",""
"590","","","","","","","","","","","","","2.199115037918091","2.199115037918091","2.199115037918091","121","121","121","","","","","",""
"600","","","","","","","","","","","","","2.1825902462005615","2.1825902462005615","2.1825902462005615","123","123","123","","","","","",""
"610","","","","","","","","","","","","","2.1871745586395264","2.1871745586395264","2.1871745586395264","125","125","125","","","","","",""
"620","","","","","","","","","","","","","2.18537974357605","2.18537974357605","2.18537974357605","127","127","127","","","","","",""
"630","","","","","","","","","","","","","2.182612895965576","2.182612895965576","2.182612895965576","129","129","129","","","","","",""
"640","","","","","","","","","","","","","2.2014636993408203","2.2014636993408203","2.2014636993408203","131","131","131","","","","","",""
"650","","","","","","","","","","","","","2.1804885864257812","2.1804885864257812","2.1804885864257812","133","133","133","","","","","",""
"660","","","","","","","","","","","","","2.181440591812134","2.181440591812134","2.181440591812134","135","135","135","","","","","",""
"670","","","","","","","","","","","","","2.2021079063415527","2.2021079063415527","2.2021079063415527","137","137","137","","","","","",""
"680","","","","","","","","","","","","","2.179737091064453","2.179737091064453","2.179737091064453","139","139","139","","","","","",""
"690","","","","","","","","","","","","","2.177035093307495","2.177035093307495","2.177035093307495","141","141","141","","","","","",""
"700","","","","","","","","","","","","","2.633493185043335","2.633493185043335","2.633493185043335","143","143","143","","","","","",""
"710","","","","","","","","","","","","","2.183306932449341","2.183306932449341","2.183306932449341","145","145","145","","","","","",""
"720","","","","","","","","","","","","","2.1716513633728027","2.1716513633728027","2.1716513633728027","147","147","147","","","","","",""
"730","","","","","","","","","","","","","2.1985363960266113","2.1985363960266113","2.1985363960266113","149","149","149","","","","","",""
"740","","","","","","","","","","","","","2.17850661277771","2.17850661277771","2.17850661277771","151","151","151","","","","","",""
"750","","","","","","","","","","","","","2.1971819400787354","2.1971819400787354","2.1971819400787354","153","153","153","","","","","",""
"760","","","","","","","","","","","","","2.1780924797058105","2.1780924797058105","2.1780924797058105","155","155","155","","","","","",""
"770","","","","","","","","","","","","","2.1774117946624756","2.1774117946624756","2.1774117946624756","157","157","157","","","","","",""
"780","","","","","","","","","","","","","2.2005057334899902","2.2005057334899902","2.2005057334899902","159","159","159","","","","","",""
"790","","","","","","","","","","","","","2.188746452331543","2.188746452331543","2.188746452331543","161","161","161","","","","","",""
"800","","","","","","","","","","","","","2.1771228313446045","2.1771228313446045","2.1771228313446045","163","163","163","","","","","",""
"810","","","","","","","","","","","","","2.200273275375366","2.200273275375366","2.200273275375366","165","165","165","","","","","",""
"820","","","","","","","","","","","","","2.169919967651367","2.169919967651367","2.169919967651367","167","167","167","","","","","",""
"830","","","","","","","","","","","","","2.1861252784729004","2.1861252784729004","2.1861252784729004","169","169","169","","","","","",""
"840","","","","","","","","","","","","","2.199033498764038","2.199033498764038","2.199033498764038","171","171","171","","","","","",""
"850","","","","","","","","","","","","","2.177371025085449","2.177371025085449","2.177371025085449","173","173","173","","","","","",""
"860","","","","","","","","","","","","","2.186487913131714","2.186487913131714","2.186487913131714","175","175","175","","","","","",""
"870","","","","","","","","","","","","","2.189643383026123","2.189643383026123","2.189643383026123","177","177","177","","","","","",""
"880","","","","","","","","","","","","","2.1832022666931152","2.1832022666931152","2.1832022666931152","179","179","179","","","","","",""
"890","","","","","","","","","","","","","2.1932640075683594","2.1932640075683594","2.1932640075683594","181","181","181","","","","","",""
"900","","","","","","","","","","","","","2.1779630184173584","2.1779630184173584","2.1779630184173584","183","183","183","","","","","",""
"910","","","","","","","","","","","","","2.187047004699707","2.187047004699707","2.187047004699707","185","185","185","","","","","",""
"920","","","","","","","","","","","","","2.200407028198242","2.200407028198242","2.200407028198242","187","187","187","","","","","",""
"930","","","","","","","","","","","","","2.184732437133789","2.184732437133789","2.184732437133789","189","189","189","","","","","",""
"940","","","","","","","","","","","","","2.1751015186309814","2.1751015186309814","2.1751015186309814","191","191","191","","","","","",""
"950","","","","","","","","","","","","","2.1977381706237793","2.1977381706237793","2.1977381706237793","193","193","193","","","","","",""
"960","","","","","","","","","","","","","2.174065113067627","2.174065113067627","2.174065113067627","195","195","195","","","","","",""
"970","","","","","","","","","","","","","2.177779197692871","2.177779197692871","2.177779197692871","197","197","197","","","","","",""
"980","","","","","","","","","","","","","2.18998646736145","2.18998646736145","2.18998646736145","199","199","199","","","","","",""
"990","","","","","","","","","","","","","2.1731784343719482","2.1731784343719482","2.1731784343719482","201","201","201","","","","","",""
"1000","","","","","","","","","","","","","2.201251745223999","2.201251745223999","2.201251745223999","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","2.1795437335968018","2.1795437335968018","2.1795437335968018","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","2.17252779006958","2.17252779006958","2.17252779006958","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","2.1890976428985596","2.1890976428985596","2.1890976428985596","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","2.174560070037842","2.174560070037842","2.174560070037842","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","2.1887991428375244","2.1887991428375244","2.1887991428375244","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","2.1851186752319336","2.1851186752319336","2.1851186752319336","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","2.1803536415100098","2.1803536415100098","2.1803536415100098","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","2.204540729522705","2.204540729522705","2.204540729522705","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","2.180469274520874","2.180469274520874","2.180469274520874","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","2.1775684356689453","2.1775684356689453","2.1775684356689453","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","2.2117533683776855","2.2117533683776855","2.2117533683776855","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","2.1770179271698","2.1770179271698","2.1770179271698","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","2.1848154067993164","2.1848154067993164","2.1848154067993164","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","2.2025907039642334","2.2025907039642334","2.2025907039642334","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","2.1777288913726807","2.1777288913726807","2.1777288913726807","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","2.1725094318389893","2.1725094318389893","2.1725094318389893","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","2.1900765895843506","2.1900765895843506","2.1900765895843506","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","2.1753265857696533","2.1753265857696533","2.1753265857696533","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","2.1816506385803223","2.1816506385803223","2.1816506385803223","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","2.18204927444458","2.18204927444458","2.18204927444458","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","2.1821961402893066","2.1821961402893066","2.1821961402893066","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","2.1959822177886963","2.1959822177886963","2.1959822177886963","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","2.173203706741333","2.173203706741333","2.173203706741333","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","2.5108225345611572","2.5108225345611572","2.5108225345611572","252","252","252","","","","","",""
"1250","","","","","","","","","","","","","2.2046380043029785","2.2046380043029785","2.2046380043029785","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","2.1760358810424805","2.1760358810424805","2.1760358810424805","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","2.179243564605713","2.179243564605713","2.179243564605713","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","2.209993839263916","2.209993839263916","2.209993839263916","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","2.1840968132019043","2.1840968132019043","2.1840968132019043","262","262","262","","","","","",""
