"train/global_step","glad-glitter-9 - train/grad_norm","glad-glitter-9 - train/grad_norm__MIN","glad-glitter-9 - train/grad_norm__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/grad_norm","sleek-moon-7 - train/grad_norm__MIN","sleek-moon-7 - train/grad_norm__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/grad_norm","magic-universe-6 - train/grad_norm__MIN","magic-universe-6 - train/grad_norm__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/grad_norm","visionary-oath-5 - train/grad_norm__MIN","visionary-oath-5 - train/grad_norm__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"450","","","","","","","","","","","","","0.27684715390205383","0.27684715390205383","0.27684715390205383","91","91","91","","","","","",""
"460","","","","","","","","","","","","","0.2719699442386627","0.2719699442386627","0.2719699442386627","93","93","93","","","","","",""
"470","","","","","","","","","","","","","0.24641115963459015","0.24641115963459015","0.24641115963459015","95","95","95","","","","","",""
"480","","","","","","","","","","","","","0.27425771951675415","0.27425771951675415","0.27425771951675415","97","97","97","","","","","",""
"490","","","","","","","","","","","","","0.2258945256471634","0.2258945256471634","0.2258945256471634","99","99","99","","","","","",""
"500","","","","","","","","","","","","","0.2786098122596741","0.2786098122596741","0.2786098122596741","101","101","101","","","","","",""
"510","","","","","","","","","","","","","0.28825363516807556","0.28825363516807556","0.28825363516807556","104","104","104","","","","","",""
"520","","","","","","","","","","","","","0.24698369204998016","0.24698369204998016","0.24698369204998016","106","106","106","","","","","",""
"530","","","","","","","","","","","","","0.23718051612377167","0.23718051612377167","0.23718051612377167","108","108","108","","","","","",""
"540","","","","","","","","","","","","","0.25805002450942993","0.25805002450942993","0.25805002450942993","110","110","110","","","","","",""
"550","","","","","","","","","","","","","0.2577091455459595","0.2577091455459595","0.2577091455459595","112","112","112","","","","","",""
"560","","","","","","","","","","","","","0.2424851506948471","0.2424851506948471","0.2424851506948471","114","114","114","","","","","",""
"570","","","","","","","","","","","","","0.2536991834640503","0.2536991834640503","0.2536991834640503","116","116","116","","","","","",""
"580","","","","","","","","","","","","","0.32394713163375854","0.32394713163375854","0.32394713163375854","118","118","118","","","","","",""
"590","","","","","","","","","","","","","0.23703564703464508","0.23703564703464508","0.23703564703464508","120","120","120","","","","","",""
"600","","","","","","","","","","","","","0.2802709639072418","0.2802709639072418","0.2802709639072418","122","122","122","","","","","",""
"610","","","","","","","","","","","","","0.24145132303237915","0.24145132303237915","0.24145132303237915","124","124","124","","","","","",""
"620","","","","","","","","","","","","","0.2798740267753601","0.2798740267753601","0.2798740267753601","126","126","126","","","","","",""
"630","","","","","","","","","","","","","0.25456473231315613","0.25456473231315613","0.25456473231315613","128","128","128","","","","","",""
"640","","","","","","","","","","","","","0.23521076142787933","0.23521076142787933","0.23521076142787933","130","130","130","","","","","",""
"650","","","","","","","","","","","","","0.260871022939682","0.260871022939682","0.260871022939682","132","132","132","","","","","",""
"660","","","","","","","","","","","","","0.23208968341350555","0.23208968341350555","0.23208968341350555","134","134","134","","","","","",""
"670","","","","","","","","","","","","","0.22888971865177155","0.22888971865177155","0.22888971865177155","136","136","136","","","","","",""
"680","","","","","","","","","","","","","0.2812095284461975","0.2812095284461975","0.2812095284461975","138","138","138","","","","","",""
"690","","","","","","","","","","","","","0.2584318518638611","0.2584318518638611","0.2584318518638611","140","140","140","","","","","",""
"700","","","","","","","","","","","","","0.2635916769504547","0.2635916769504547","0.2635916769504547","142","142","142","","","","","",""
"710","","","","","","","","","","","","","0.23119786381721497","0.23119786381721497","0.23119786381721497","144","144","144","","","","","",""
"720","","","","","","","","","","","","","0.2594069540500641","0.2594069540500641","0.2594069540500641","146","146","146","","","","","",""
"730","","","","","","","","","","","","","0.279371976852417","0.279371976852417","0.279371976852417","148","148","148","","","","","",""
"740","","","","","","","","","","","","","0.22662606835365295","0.22662606835365295","0.22662606835365295","150","150","150","","","","","",""
"750","","","","","","","","","","","","","0.2531333565711975","0.2531333565711975","0.2531333565711975","152","152","152","","","","","",""
"760","","","","","","","","","","","","","0.2632955014705658","0.2632955014705658","0.2632955014705658","154","154","154","","","","","",""
