"train/global_step","glad-glitter-9 - train/loss","glad-glitter-9 - train/loss__MIN","glad-glitter-9 - train/loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/loss","sleek-moon-7 - train/loss__MIN","sleek-moon-7 - train/loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/loss","magic-universe-6 - train/loss__MIN","magic-universe-6 - train/loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/loss","visionary-oath-5 - train/loss__MIN","visionary-oath-5 - train/loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"200","","","","","","","","","","","","","3.2539344787597657","3.2539344787597657","3.2539344787597657","41","41","41","3.261102294921875","3.261102294921875","3.261102294921875","41","41","41"
"210","","","","","","","","","","","","","3.230091094970703","3.230091094970703","3.230091094970703","43","43","43","3.2851398468017576","3.2851398468017576","3.2851398468017576","43","43","43"
"220","","","","","","","","","","","","","3.19457950592041","3.19457950592041","3.19457950592041","45","45","45","3.178984260559082","3.178984260559082","3.178984260559082","45","45","45"
"230","","","","","","","","","","","","","3.1296768188476562","3.1296768188476562","3.1296768188476562","47","47","47","3.358903503417969","3.358903503417969","3.358903503417969","47","47","47"
"240","","","","","","","","","","","","","3.281616973876953","3.281616973876953","3.281616973876953","49","49","49","3.359647750854492","3.359647750854492","3.359647750854492","49","49","49"
"250","","","","","","","","","","","","","3.263492202758789","3.263492202758789","3.263492202758789","51","51","51","3.264921951293945","3.264921951293945","3.264921951293945","51","51","51"
"260","","","","","","","","","","","","","3.2513378143310545","3.2513378143310545","3.2513378143310545","53","53","53","3.2583740234375","3.2583740234375","3.2583740234375","53","53","53"
"270","","","","","","","","","","","","","3.327478790283203","3.327478790283203","3.327478790283203","55","55","55","","","","","",""
"280","","","","","","","","","","","","","3.279798889160156","3.279798889160156","3.279798889160156","57","57","57","","","","","",""
"290","","","","","","","","","","","","","3.227985382080078","3.227985382080078","3.227985382080078","59","59","59","","","","","",""
"300","","","","","","","","","","","","","3.2723392486572265","3.2723392486572265","3.2723392486572265","61","61","61","","","","","",""
"310","","","","","","","","","","","","","3.2183250427246093","3.2183250427246093","3.2183250427246093","63","63","63","","","","","",""
"320","","","","","","","","","","","","","3.2400108337402345","3.2400108337402345","3.2400108337402345","65","65","65","","","","","",""
"330","","","","","","","","","","","","","3.304129791259766","3.304129791259766","3.304129791259766","67","67","67","","","","","",""
"340","","","","","","","","","","","","","3.2697593688964846","3.2697593688964846","3.2697593688964846","69","69","69","","","","","",""
"350","","","","","","","","","","","","","3.2196495056152346","3.2196495056152346","3.2196495056152346","71","71","71","","","","","",""
"360","","","","","","","","","","","","","3.1856361389160157","3.1856361389160157","3.1856361389160157","73","73","73","","","","","",""
"370","","","","","","","","","","","","","3.304094696044922","3.304094696044922","3.304094696044922","75","75","75","","","","","",""
"380","","","","","","","","","","","","","3.2134120941162108","3.2134120941162108","3.2134120941162108","77","77","77","","","","","",""
"390","","","","","","","","","","","","","3.2331756591796874","3.2331756591796874","3.2331756591796874","79","79","79","","","","","",""
"400","","","","","","","","","","","","","3.202976608276367","3.202976608276367","3.202976608276367","81","81","81","","","","","",""
"410","","","","","","","","","","","","","3.2634609222412108","3.2634609222412108","3.2634609222412108","83","83","83","","","","","",""
"420","","","","","","","","","","","","","3.2306453704833986","3.2306453704833986","3.2306453704833986","85","85","85","","","","","",""
"430","","","","","","","","","","","","","3.192137336730957","3.192137336730957","3.192137336730957","87","87","87","","","","","",""
"440","","","","","","","","","","","","","3.200307846069336","3.200307846069336","3.200307846069336","89","89","89","","","","","",""
"450","","","","","","","","","","","","","3.2084964752197265","3.2084964752197265","3.2084964752197265","91","91","91","","","","","",""
"460","","","","","","","","","","","","","3.2873920440673827","3.2873920440673827","3.2873920440673827","93","93","93","","","","","",""
"470","","","","","","","","","","","","","3.183315658569336","3.183315658569336","3.183315658569336","95","95","95","","","","","",""
"480","","","","","","","","","","","","","3.2174896240234374","3.2174896240234374","3.2174896240234374","97","97","97","","","","","",""
"490","","","","","","","","","","","","","3.154165840148926","3.154165840148926","3.154165840148926","99","99","99","","","","","",""
"500","","","","","","","","","","","","","3.2198951721191404","3.2198951721191404","3.2198951721191404","101","101","101","","","","","",""
"510","","","","","","","","","","","","","3.156157684326172","3.156157684326172","3.156157684326172","104","104","104","","","","","",""
"520","","","","","","","","","","","","","3.2864711761474608","3.2864711761474608","3.2864711761474608","106","106","106","","","","","",""
"530","","","","","","","","","","","","","3.185456085205078","3.185456085205078","3.185456085205078","108","108","108","","","","","",""
"540","","","","","","","","","","","","","3.142414093017578","3.142414093017578","3.142414093017578","110","110","110","","","","","",""
"550","","","","","","","","","","","","","3.224211502075195","3.224211502075195","3.224211502075195","112","112","112","","","","","",""
