"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1340","","","","","","","271.5","271","272","","",""
"1350","","","","","","","273.5","273","274","","",""
"1360","","","","","","","275.5","275","276","","",""
"1370","","","","","","","277.5","277","278","","",""
"1380","","","","","","","279.5","279","280","","",""
"1390","","","","","","","281.5","281","282","","",""
"1400","","","","","","","283.5","283","284","","",""
"1410","","","","","","","285.5","285","286","","",""
"1420","","","","","","","287.5","287","288","","",""
"1430","","","","","","","289.5","289","290","","",""
"1440","","","","","","","291.5","291","292","","",""
"1450","","","","","","","293.5","293","294","","",""
"1460","","","","","","","295.5","295","296","","",""
"1470","","","","","","","297.5","297","298","","",""
"1480","","","","","","","299.5","299","300","","",""
"1490","","","","","","","301.5","301","302","","",""
"1500","","","","","","","304","303","305","","",""
"1510","","","","","","","306.5","306","307","","",""
"1520","","","","","","","308.5","308","309","","",""
"1530","","","","","","","310.5","310","311","","",""
"1540","","","","","","","312.5","312","313","","",""
"1550","","","","","","","314.5","314","315","","",""
"1560","","","","","","","316.5","316","317","","",""
"1570","","","","","","","318.5","318","319","","",""
"1580","","","","","","","320.5","320","321","","",""
"1590","","","","","","","322.5","322","323","","",""
"1600","","","","","","","324.5","324","325","","",""
"1610","","","","","","","326.5","326","327","","",""
"1620","","","","","","","328.5","328","329","","",""
"1630","","","","","","","330.5","330","331","","",""
"1640","","","","","","","332.5","332","333","","",""
"1650","","","","","","","334.5","334","335","","",""
"1660","","","","","","","336.5","336","337","","",""
"1670","","","","","","","338.5","338","339","","",""
"1680","","","","","","","340.5","340","341","","",""
"1690","","","","","","","342.5","342","343","","",""
"1700","","","","","","","344.5","344","345","","",""
"1710","","","","","","","346.5","346","347","","",""
"1720","","","","","","","348.5","348","349","","",""
"1730","","","","","","","350.5","350","351","","",""
"1740","","","","","","","352.5","352","353","","",""
"1750","","","","","","","354.5","354","355","","",""
"1760","","","","","","","356.5","356","357","","",""
"1770","","","","","","","358.5","358","359","","",""
"1780","","","","","","","360.5","360","361","","",""
"1790","","","","","","","362.5","362","363","","",""
"1800","","","","","","","364.5","364","365","","",""
"1810","","","","","","","366.5","366","367","","",""
"1820","","","","","","","368.5","368","369","","",""
"1830","","","","","","","370.5","370","371","","",""
"1840","","","","","","","372.5","372","373","","",""
"1850","","","","","","","374.5","374","375","","",""
"1860","","","","","","","376.5","376","377","","",""
"1870","","","","","","","378.5","378","379","","",""
"1880","","","","","","","380.5","380","381","","",""
"1890","","","","","","","382.5","382","383","","",""
"1900","","","","","","","384.5","384","385","","",""
"1910","","","","","","","386.5","386","387","","",""
"1920","","","","","","","388.5","388","389","","",""
"1930","","","","","","","390.5","390","391","","",""
"1940","","","","","","","392.5","392","393","","",""
"1950","","","","","","","394.5","394","395","","",""
"1960","","","","","","","396.5","396","397","","",""
"1970","","","","","","","398.5","398","399","","",""
"1980","","","","","","","400.5","400","401","","",""
"1990","","","","","","","402.5","402","403","","",""
"2000","","","","","","","405","404","406","","",""
"2010","","","","","","","407.5","407","408","","",""
"2020","","","","","","","409.5","409","410","","",""
"2030","","","","","","","411.5","411","412","","",""
"2040","","","","","","","413.5","413","414","","",""
"2050","","","","","","","415.5","415","416","","",""
"2060","","","","","","","417.5","417","418","","",""
"2070","","","","","","","419.5","419","420","","",""
"2080","","","","","","","421.5","421","422","","",""
"2090","","","","","","","423.5","423","424","","",""
"2100","","","","","","","425.5","425","426","","",""
"2110","","","","","","","427.5","427","428","","",""
"2120","","","","","","","429.5","429","430","","",""
"2130","","","","","","","431.5","431","432","","",""
"2140","","","","","","","433.5","433","434","","",""
"2150","","","","","","","435.5","435","436","","",""
"2160","","","","","","","437.5","437","438","","",""
"2170","","","","","","","439.5","439","440","","",""
"2180","","","","","","","441.5","441","442","","",""
"2190","","","","","","","443.5","443","444","","",""
"2200","","","","","","","445.5","445","446","","",""
"2210","","","","","","","447.5","447","448","","",""
"2220","","","","","","","449.5","449","450","","",""
"2230","","","","","","","451.5","451","452","","",""
"2240","","","","","","","453.5","453","454","","",""
"2250","","","","","","","455.5","455","456","","",""
"2260","","","","","","","457.5","457","458","","",""
"2270","","","","","","","459.5","459","460","","",""
"2280","","","","","","","461.5","461","462","","",""
"2290","","","","","","","463.5","463","464","","",""
"2300","","","","","","","465.5","465","466","","",""
"2310","","","","","","","467.5","467","468","","",""
"2320","","","","","","","469.5","469","470","","",""
"2330","","","","","","","471.5","471","472","","",""
"2340","","","","","","","473.5","473","474","","",""
"2350","","","","","","","475.5","475","476","","",""
"2360","","","","","","","477.5","477","478","","",""
"2370","","","","","","","479.5","479","480","","",""
"2380","","","","","","","481.5","481","482","","",""
"2390","","","","","","","483.5","483","484","","",""
"2400","","","","","","","485.5","485","486","","",""
"2410","","","","","","","487.5","487","488","","",""
"2420","","","","","","","489.5","489","490","","",""
"2430","","","","","","","491.5","491","492","","",""
"2440","","","","","","","493.5","493","494","","",""
"2450","","","","","","","495.5","495","496","","",""
"2460","","","","","","","497.5","497","498","","",""
"2470","","","","","","","499.5","499","500","","",""
"2480","","","","","","","501.5","501","502","","",""
"2490","","","","","","","503.5","503","504","","",""
"2500","","","","","","","506","505","507","","",""
