"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"5660","133.5","133","134","","","","","","","","",""
"5670","135.5","135","136","","","","","","","","",""
"5680","137.5","137","138","","","","","","","","",""
"5690","139.5","139","140","","","","","","","","",""
"5700","141.5","141","142","","","","","","","","",""
"5710","143.5","143","144","","","","","","","","",""
"5720","145.5","145","146","","","","","","","","",""
"5730","147.5","147","148","","","","","","","","",""
"5740","149.5","149","150","","","","","","","","",""
"5750","151.5","151","152","","","","","","","","",""
"5760","153.5","153","154","","","","","","","","",""
"5770","155.5","155","156","","","","","","","","",""
"5780","157.5","157","158","","","","","","","","",""
"5790","159.5","159","160","","","","","","","","",""
"5800","161.5","161","162","","","","","","","","",""
"5810","163.5","163","164","","","","","","","","",""
"5820","165.5","165","166","","","","","","","","",""
"5830","167.5","167","168","","","","","","","","",""
"5840","169.5","169","170","","","","","","","","",""
"5850","171.5","171","172","","","","","","","","",""
"5860","173.5","173","174","","","","","","","","",""
"5870","175.5","175","176","","","","","","","","",""
"5880","177.5","177","178","","","","","","","","",""
"5890","179.5","179","180","","","","","","","","",""
"5900","181.5","181","182","","","","","","","","",""
"5910","183.5","183","184","","","","","","","","",""
"5920","185.5","185","186","","","","","","","","",""
"5930","187.5","187","188","","","","","","","","",""
"5940","189.5","189","190","","","","","","","","",""
"5950","191.5","191","192","","","","","","","","",""
"5960","193.5","193","194","","","","","","","","",""
"5970","195.5","195","196","","","","","","","","",""
"5980","197.5","197","198","","","","","","","","",""
"5990","199.5","199","200","","","","","","","","",""
"6000","202","201","203","","","","","","","","",""
"6010","204.5","204","205","","","","","","","","",""
"6020","206.5","206","207","","","","","","","","",""
"6030","208.5","208","209","","","","","","","","",""
"6040","210.5","210","211","","","","","","","","",""
"6050","212.5","212","213","","","","","","","","",""
"6060","214.5","214","215","","","","","","","","",""
"6070","216.5","216","217","","","","","","","","",""
"6080","218.5","218","219","","","","","","","","",""
"6090","220.5","220","221","","","","","","","","",""
"6100","222.5","222","223","","","","","","","","",""
"6110","224.5","224","225","","","","","","","","",""
"6120","226.5","226","227","","","","","","","","",""
"6130","228.5","228","229","","","","","","","","",""
"6140","230.5","230","231","","","","","","","","",""
"6150","232.5","232","233","","","","","","","","",""
"6160","234.5","234","235","","","","","","","","",""
"6170","236.5","236","237","","","","","","","","",""
"6180","238.5","238","239","","","","","","","","",""
"6190","240.5","240","241","","","","","","","","",""
"6200","242.5","242","243","","","","","","","","",""
"6210","244.5","244","245","","","","","","","","",""
"6220","246.5","246","247","","","","","","","","",""
"6230","248.5","248","249","","","","","","","","",""
"6240","250.5","250","251","","","","","","","","",""
"6250","252.5","252","253","","","","","","","","",""
"6260","254.5","254","255","","","","","","","","",""
"6270","256.5","256","257","","","","","","","","",""
"6280","258.5","258","259","","","","","","","","",""
"6290","260.5","260","261","","","","","","","","",""
"6300","262.5","262","263","","","","","","","","",""
"6310","264.5","264","265","","","","","","","","",""
"6320","266.5","266","267","","","","","","","","",""
"6330","268.5","268","269","","","","","","","","",""
"6340","270.5","270","271","","","","","","","","",""
"6350","272.5","272","273","","","","","","","","",""
"6360","274.5","274","275","","","","","","","","",""
"6370","276","276","276","","","","","","","","",""
"6375","278.5","277","280","","","","","","","","",""
