"train/global_step","glad-glitter-9 - train/epoch","glad-glitter-9 - train/epoch__MIN","glad-glitter-9 - train/epoch__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/epoch","sleek-moon-7 - train/epoch__MIN","sleek-moon-7 - train/epoch__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/epoch","magic-universe-6 - train/epoch__MIN","magic-universe-6 - train/epoch__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/epoch","visionary-oath-5 - train/epoch__MIN","visionary-oath-5 - train/epoch__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"420","","","","","","","","","","","","","0.1976470588235294","0.1976470588235294","0.1976470588235294","85","85","85","","","","","",""
"430","","","","","","","","","","","","","0.2023529411764706","0.2023529411764706","0.2023529411764706","87","87","87","","","","","",""
"440","","","","","","","","","","","","","0.20705882352941177","0.20705882352941177","0.20705882352941177","89","89","89","","","","","",""
"450","","","","","","","","","","","","","0.21176470588235294","0.21176470588235294","0.21176470588235294","91","91","91","","","","","",""
"460","","","","","","","","","","","","","0.2164705882352941","0.2164705882352941","0.2164705882352941","93","93","93","","","","","",""
"470","","","","","","","","","","","","","0.2211764705882353","0.2211764705882353","0.2211764705882353","95","95","95","","","","","",""
"480","","","","","","","","","","","","","0.22588235294117648","0.22588235294117648","0.22588235294117648","97","97","97","","","","","",""
"490","","","","","","","","","","","","","0.23058823529411765","0.23058823529411765","0.23058823529411765","99","99","99","","","","","",""
"500","","","","","","","","","","","","","0.23529411764705882","0.23529411764705882","0.23529411764705882","101.5","101","102","","","","","",""
"510","","","","","","","","","","","","","0.24","0.24","0.24","104","104","104","","","","","",""
"520","","","","","","","","","","","","","0.2447058823529412","0.2447058823529412","0.2447058823529412","106","106","106","","","","","",""
"530","","","","","","","","","","","","","0.24941176470588236","0.24941176470588236","0.24941176470588236","108","108","108","","","","","",""
"540","","","","","","","","","","","","","0.2541176470588235","0.2541176470588235","0.2541176470588235","110","110","110","","","","","",""
"550","","","","","","","","","","","","","0.25882352941176473","0.25882352941176473","0.25882352941176473","112","112","112","","","","","",""
"560","","","","","","","","","","","","","0.2635294117647059","0.2635294117647059","0.2635294117647059","114","114","114","","","","","",""
"570","","","","","","","","","","","","","0.26823529411764707","0.26823529411764707","0.26823529411764707","116","116","116","","","","","",""
"580","","","","","","","","","","","","","0.27294117647058824","0.27294117647058824","0.27294117647058824","118","118","118","","","","","",""
"590","","","","","","","","","","","","","0.2776470588235294","0.2776470588235294","0.2776470588235294","120","120","120","","","","","",""
"600","","","","","","","","","","","","","0.2823529411764706","0.2823529411764706","0.2823529411764706","122","122","122","","","","","",""
"610","","","","","","","","","","","","","0.28705882352941176","0.28705882352941176","0.28705882352941176","124","124","124","","","","","",""
"620","","","","","","","","","","","","","0.2917647058823529","0.2917647058823529","0.2917647058823529","126","126","126","","","","","",""
"630","","","","","","","","","","","","","0.2964705882352941","0.2964705882352941","0.2964705882352941","128","128","128","","","","","",""
"640","","","","","","","","","","","","","0.30117647058823527","0.30117647058823527","0.30117647058823527","130","130","130","","","","","",""
"650","","","","","","","","","","","","","0.3058823529411765","0.3058823529411765","0.3058823529411765","132","132","132","","","","","",""
"660","","","","","","","","","","","","","0.31058823529411766","0.31058823529411766","0.31058823529411766","134","134","134","","","","","",""
"670","","","","","","","","","","","","","0.31529411764705884","0.31529411764705884","0.31529411764705884","136","136","136","","","","","",""
"680","","","","","","","","","","","","","0.32","0.32","0.32","138","138","138","","","","","",""
"690","","","","","","","","","","","","","0.3247058823529412","0.3247058823529412","0.3247058823529412","140","140","140","","","","","",""
"700","","","","","","","","","","","","","0.32941176470588235","0.32941176470588235","0.32941176470588235","142","142","142","","","","","",""
"710","","","","","","","","","","","","","0.3341176470588235","0.3341176470588235","0.3341176470588235","144","144","144","","","","","",""
"720","","","","","","","","","","","","","0.3388235294117647","0.3388235294117647","0.3388235294117647","146","146","146","","","","","",""
"730","","","","","","","","","","","","","0.34352941176470586","0.34352941176470586","0.34352941176470586","148","148","148","","","","","",""
"740","","","","","","","","","","","","","0.34823529411764703","0.34823529411764703","0.34823529411764703","150","150","150","","","","","",""
"750","","","","","","","","","","","","","0.35294117647058826","0.35294117647058826","0.35294117647058826","152","152","152","","","","","",""
"760","","","","","","","","","","","","","0.35764705882352943","0.35764705882352943","0.35764705882352943","154","154","154","","","","","",""
"770","","","","","","","","","","","","","0.3623529411764706","0.3623529411764706","0.3623529411764706","156","156","156","","","","","",""
"780","","","","","","","","","","","","","0.36705882352941177","0.36705882352941177","0.36705882352941177","158","158","158","","","","","",""
"790","","","","","","","","","","","","","0.37176470588235294","0.37176470588235294","0.37176470588235294","160","160","160","","","","","",""
"800","","","","","","","","","","","","","0.3764705882352941","0.3764705882352941","0.3764705882352941","162","162","162","","","","","",""
"810","","","","","","","","","","","","","0.3811764705882353","0.3811764705882353","0.3811764705882353","164","164","164","","","","","",""
"820","","","","","","","","","","","","","0.38588235294117645","0.38588235294117645","0.38588235294117645","166","166","166","","","","","",""
"830","","","","","","","","","","","","","0.3905882352941176","0.3905882352941176","0.3905882352941176","168","168","168","","","","","",""
"840","","","","","","","","","","","","","0.3952941176470588","0.3952941176470588","0.3952941176470588","170","170","170","","","","","",""
"850","","","","","","","","","","","","","0.4","0.4","0.4","172","172","172","","","","","",""
"860","","","","","","","","","","","","","0.4047058823529412","0.4047058823529412","0.4047058823529412","174","174","174","","","","","",""
"870","","","","","","","","","","","","","0.40941176470588236","0.40941176470588236","0.40941176470588236","176","176","176","","","","","",""
"880","","","","","","","","","","","","","0.41411764705882353","0.41411764705882353","0.41411764705882353","178","178","178","","","","","",""
"890","","","","","","","","","","","","","0.4188235294117647","0.4188235294117647","0.4188235294117647","180","180","180","","","","","",""
"900","","","","","","","","","","","","","0.4235294117647059","0.4235294117647059","0.4235294117647059","182","182","182","","","","","",""
"910","","","","","","","","","","","","","0.42823529411764705","0.42823529411764705","0.42823529411764705","184","184","184","","","","","",""
"920","","","","","","","","","","","","","0.4329411764705882","0.4329411764705882","0.4329411764705882","186","186","186","","","","","",""
"930","","","","","","","","","","","","","0.4376470588235294","0.4376470588235294","0.4376470588235294","188","188","188","","","","","",""
